agent,map,kda,kill,death,assistant,winrate,defenderwinrate,attackwinrate,pickrate,totalgame
astra,split,0.980,12.4 , 12.7 , 3.8,0.5,0.53,0.45,0.01,10047
cypher,split,0.950,11.5 , 12.1 , 3.7,0.46,0.52,0.48,0.05,44013
yoru,split,0.950,9.9 , 10.5 , 2.5,0.48,0.48,0.48,0.04,30192
raze,bind,1.010,11.2 , 11.2 , 3.6,0.5,0.52,0.48,0.11,196401
killjoy,bind,0.970,11.1 , 11.4 , 3.5,0.52,0.53,0.49,0.06,111333
sage,bind,0.910,10.9 , 12.1 , 3.7,0.51,0.51,0.49,0.13,239496
brimstone,bind,0.920,11.3 , 12.4 , 4.9,0.51,0.51,0.49,0.04,68901
reyna,bind,1.160,13.6 , 11.7 , 3.3,0.51,0.51,0.49,0.13,236742
viper,bind,0.920,10.8 , 11.8 , 3.9,0.47,0.52,0.48,0.04,76959
sova,bind,0.950,11.2 , 11.8 , 4.5,0.49,0.51,0.48,0.07,127551
breach,bind,0.950,10.3 , 10.8 , 3.5,0.47,0.51,0.47,0.02,43605
jett,bind,1.090,12.4 , 11.3 , 2.9,0.5,0.51,0.49,0.13,231795
omen,bind,0.960,12.0 , 12.6 , 4.0,0.49,0.51,0.48,0.07,119799
skye,bind,0.940,10.5 , 11.2 , 3.1,0.52,0.51,0.49,0.04,64515
